MhswID,IPS1,IPS2,IPS3,IPS4,IPS5,IPS6,IPS7,IPS8,SKS1,SKS2,SKS3,SKS4,SKS5,SKS6,SKS7,SKS8,P1,P2,P3,P4,P5,P6,P7,P8,AMS
103060001,3.15,2.53,2.16,2.48,2.75,2.63,2.69,1.8,17,31,44,62,81,97,119,123,0,0,0,0,79.47,82.41,67.36,64.95,1
103040117,1.82,3.18,3.67,3.55,4,3.57,4,4,55,74,101,121,129,136,138,142,0,0,0,0,97.62,96.43,0,0,0
103060028,2.54,2.74,1.83,2.67,2.5,2.57,2.43,2,23,42,52,70,88,102,112,122,0,0,0,0,89.08,86.1,67.76,82,1
103040004,3.75,3.53,3.25,4,3.55,3.36,3.67,2.86,20,39,59,78,98,120,135,139,0,0,99.11,0,93.49,93.91,96.29,89.13,0
103040005,3.15,2.95,3.1,2.84,3,3.1,3,3,17,33,50,69,95,115,130,140,0,0,89.76,0,80.76,76.23,67.84,51.37,1
103040008,2.25,2.79,2.25,2.95,2.2,2.75,3.36,2.5,10,26,45,61,66,74,97,107,0,0,77.35,0,64.56,62.67,78.57,79.86,1
103040009,3.15,2.95,2.95,2.95,3.7,2.95,3.33,3.4,20,39,50,69,98,118,133,143,0,0,83.49,0,92.46,93.73,96.57,94.1,0
103040014,2.65,3.68,3.4,2.32,2.82,3.29,3.56,2.44,14,33,53,69,97,114,130,139,0,0,82.9,0,92.45,95.59,79.76,94.37,0
103040015,2.85,2.84,2.7,3.11,2.94,2.65,3,2.08,14,27,47,63,83,94,115,119,0,0,70.07,0,69.39,66.43,89.43,93.56,1
103040016,3.75,3,3.45,3.26,3.3,3.45,3.6,4,20,39,59,78,98,117,135,143,89.55,0,95.32,0,92.62,94.33,94,77.61,0
103040017,2.55,2.95,2.67,2.89,2.91,3.25,3.67,3.23,17,36,51,67,95,115,130,143,0,0,0,0,83.17,93.93,98.57,98.08,0
103040011,2.7,3.68,3.25,3.09,2.95,3.33,3.77,4,14,33,53,75,103,124,137,139,0,0,96.06,0,94.44,94.99,78.29,76.92,0
103040025,2.47,2.79,3,2.47,1.65,1.69,2.64,2.78,11,30,48,58,66,74,94,101,0,0,75.61,0,65.98,71.04,67.7,81.29,1
103040030,3.75,3.37,3.18,3.11,2.95,3.64,3.54,3.5,20,39,55,71,91,110,129,137,0,0,0,0,89.17,90.12,98.21,88.1,0
103040031,3.85,3,3.45,3,3.4,3.64,4,3.5,20,36,55,74,100,122,135,143,0,0,97.29,0,85.61,94.84,98.21,95,0
103040032,3,2.95,2.8,2.63,3,2.7,3.35,2.33,17,33,53,69,98,115,135,141,0,0,81.71,0,90.18,87.93,92.29,85.42,0
103040033,1.5,2.06,2.05,3,2.9,2.68,2.4,1.8,7,20,39,53,63,79,97,101,0,0,70.29,0,70.7,85.27,85.36,83.84,1
103040037,2.8,3.32,2.95,2.95,2.95,3.4,3.53,3.33,17,36,56,75,98,118,133,139,0,0,0,0,87.99,94.74,97.43,97.44,0
103040035,1.85,1.88,1.67,2.5,1.5,1,3.38,2.8,17,27,29,35,38,41,49,67,0,0,0,0,45.27,48.21,68.73,90.99,1
103040040,1.5,3.25,1.75,2.08,1.4,3.38,2.35,2.78,5,21,36,43,45,53,76,85,0,0,43.38,0,47.13,75.45,80.2,89.21,1
103040023,2.7,3.68,3.4,3.18,3.23,3.42,3.77,4,11,30,50,72,100,119,132,136,0,0,0,0,91.41,90.95,98.21,95.6,0
103040042,3.7,4,3.59,3.42,3.85,3.91,4,4,20,39,61,80,100,122,135,139,0,0,87.96,0,95.6,96.23,98.21,96.43,0
103040038,2.35,3.05,2,2.47,2.29,2.59,3.23,2.07,14,33,42,58,72,83,99,111,0,0,0,0,76.61,80.38,83.29,94.52,1
103040044,4,3.58,3.32,3.26,3.7,3.59,3.77,3.5,20,39,55,74,100,119,135,143,0,0,99.07,0,94.41,95.8,100,100,0
103040045,2.59,2.44,2.83,2.29,1.36,1.63,3.22,2.59,11,24,42,50,52,55,64,79,0,0,76.54,0,52.98,27.19,63.95,76.6,1
103040047,1.75,2.95,2.2,2.53,2,2,2,2,13,32,51,70,78,80,83,85,0,0,72.14,0,32.55,24.87,27.69,36.87,1
103040053,3.1,3.53,3.25,2.74,3.7,3.4,3.6,3.67,20,39,59,72,95,115,130,139,0,0,97.02,0,90.5,96.13,99.14,96.15,0
103040051,3.15,2.95,2.68,3.42,2.95,3.23,3.4,3,20,39,61,80,100,122,132,136,0,0,80.04,0,88.23,90.49,95.36,87.5,0
103040063,2.55,3.21,2.1,3.42,2.18,2.26,3.17,3.22,10,29,47,63,77,91,112,121,0,0,0,0,69.23,87.26,91.71,90.48,1
103040067,2.8,3.05,2.05,2.16,2.17,2.7,2.88,2,17,36,53,66,90,107,120,126,0,0,94.21,0,92.36,92.89,93.3,94.21,0
103040071,3.3,2.79,3.23,3.21,2.75,2.86,3.46,2.67,20,39,61,77,97,119,135,141,0,0,0,0,84.22,85.16,92.5,79.72,0
103040076,3.05,3.37,2.82,2.89,2.8,2.95,3,2,20,39,58,77,100,120,130,134,49.42,0,90.62,0,81.95,83.19,87.5,69.23,1
103040082,3.6,3.42,2.91,2.86,3.1,3.77,3.13,2.71,20,36,52,65,94,116,132,139,0,0,81.82,0,86.34,88.71,92.57,90.74,0
103040087,3.9,3.89,3.7,3.59,3.91,3.84,4,3.5,20,39,59,81,103,122,135,139,0,0,0,0,94.44,100,98.21,100,0
103040089,2.85,2.95,3.55,2.89,3.55,2.8,3.56,3.08,14,33,56,75,95,115,133,143,0,0,75.92,0,81,87.24,84.29,75.65,0
103040091,3.85,3.74,3.1,3.45,3.5,2.84,3.6,3,20,39,56,78,103,119,129,139,0,0,0,0,72.45,79.4,71.3,64.29,0
103040092,3.1,2.79,2.4,2.47,2.15,2.2,2.75,2.33,20,39,50,63,89,101,119,126,0,0,72.37,0,80.65,80.43,88.13,77.03,1
103040094,2.85,3.11,2.65,2.82,2.95,3.68,3.53,3,17,33,44,60,92,111,135,141,0,0,0,0,91.44,93.47,94.86,77.5,0
